OBJECTID_1,State,CIS_Name,Name_Short,ST_Fips,CID,COUNTY_CIS
64,Kansas,Iowa Tribe Nation,Iowa (KS-NE) Reservation,20,200646,Doniphan County
65,Minnesota,Upper Sioux Community,Upper Sioux Community,27,270779,Yellow Medicine County
66,Minnesota,Prairie Island Indian Community,Prairie Island Indian Community,27,270903,Dakota County/Goodhue County
67,Nebraska,Winnebago Indian Tribe,Winnebago Off-Reservation Trust Land,31,315498,Thurston County
68,South Dakota,Cheyenne River Indian Reservation Dewey,Cheyenne River Off-Reservation Trust Land,46,461203,Dewey County/Ziebach County
69,South Dakota,Yankton Sioux Tribe,Yankton Reservation,46,461204,Charles Mix County
70,North Carolina,Eastern Band Of Cherokee Indians,Eastern Cherokee Reservation,37,370401,Haywood County/Swain County/Jackson County/Graham County/Cherokee County
71,South Carolina,Catawba Indian Nation,Catawba Reservation,45,450041,York County
72,Michigan,Nottawaseppi Huran Band Of The Pottawatomi Tribe,Huron Potawatomi Reservation,26,261529,Multiple Counties
73,Michigan,Match-E-Be-Nash-Shewish Band Of Pottawatomi Indian,Match-e-be-nash-she-wish Band of Pottawatomi Reservation,26,261532,Allegan County
74,Michigan,Saginaw Chippewa Tribe,Isabella Reservation,26,261876,Multiple Counties
75,Michigan,Grand Traverse Band Of Ottawa And Chippewa Indians,Grand Traverse Reservation,26,261803,Multiple Counties
76,Michigan,Pokagon Band Of The Pottawatomi Indians,Pokagon Reservation,26,261530,Multiple Counties
77,New York,Seneca Nation Of Indians,Cattaraugus Reservation,36,361591,Cattaraugus County/Erie County/Chautauqua County/Allegany County
78,Wisconsin,Ho-Chunk Nation Of Wisconsin,Ho-Chunk Nation Reservation,55,550630,Multiple Counties
79,Wisconsin,"Menominee Indian Reservation, Tribe Of",Menominee Reservation,55,550619,Winnebago County/Menominee County
80,Wisconsin,"Oneida Nation Of Wisconsin, Tribe Of",Oneida (WI) Reservation,55,550379,Multiple Counties
81,Connecticut,Mashantucket Pequot Tribe,Mashantucket Pequot Reservation,09,090039,New London County
82,Connecticut,Mohegan Tribe,Mohegan Off-Reservation Trust Land,09,090108,New London County
83,New York,Poospatuck Indian Reservation,Poospatuck (state) Reservation,36,360237,Suffolk County
84,New York,Shinnecock Indian Reservation,Shinnecock (state) Reservation,36,360629,Suffolk County
85,Rhode Island,Narragansett Indian Tribe,Narragansett Reservation,44,445414,Washington County
86,Washington,Skokomish Indian Tribe,Skokomish Reservation,53,530326,Mason County
87,Washington,Lower Elwha Klallam Tribe,Lower Elwha Reservation,53,530316,Clallam County
88,Washington,Quileute Indian Tribe,Quileute Reservation,53,530335,Clallam County
89,Washington,Shoalwater Bay Indian Tribe,Shoalwater Bay Indian Reservation,53,530341,Pacific County
90,Washington,Sauk-Suiattle Tribe,Sauk-Suiattle Reservation,53,530340,Skagit County
91,Washington,"Swinomish, Tribe Of",Swinomish Reservation,53,530222,Skagit County
92,Washington,Hoh Indian Tribe,Hoh Indian Reservation,53,530329,Jefferson County
93,Washington,"Chehalis Reservation, Confederated Tribes Of",Chehalis Reservation,53,530334,Grays Harbor County
94,Washington,Lummi Indian Reservation,Lummi Reservation,53,530331,Whatcom County
95,Washington,Muckleshoot Tribe,Muckleshoot Reservation,53,530165,King County
96,Washington,"Snoqualmie Indian Tribe, Tribe Of",Snoqualmie Reservation,53,530066,King County
97,Idaho,Coeur D'Alene Indian Reservation,Coeur d'Alene Reservation,16,160065,Multiple Counties
