airline,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
Air France,14,4,79,6,2,337
Air India,2,1,329,4,1,158
American,21,5,101,17,3,416
Delta / Northwest,24,12,407,24,2,51
Ethiopian Airlines,25,5,167,5,2,92
Malaysia Airlines,3,1,34,3,2,537
Pakistan International,8,3,234,10,2,46
SWISS,2,1,229,3,0,0
Thai Airways,8,4,308,2,1,1
United / Continental,19,8,319,14,2,109
US Airways / America West,16,7,224,11,2,23
