Country,BeverageTypes,year,alcohol_per_capita_in_litres
Belgium,All types,2010,10.22
Belgium,Beer,2010,5.02
Belgium,Wine,2010,3.71
Belgium,Spirits,2010,1.47
Brazil,All types,2010,7.52
Brazil,Beer,2010,4.42
Brazil,Wine,2010,0.4
Brazil,Spirits,2010,2.66
Canada,All types,2010,8.4
Canada,Beer,2010,4.2
Canada,Wine,2010,1.9
Canada,Spirits,2010,2.1
Chile,All types,2010,7.93
Chile,Beer,2010,2.37
Chile,Wine,2010,3.23
Chile,Spirits,2010,2.33
Denmark,All types,2010,10.28
Denmark,Beer,2010,3.86
Denmark,Wine,2010,4.92
Denmark,Spirits,2010,1.44
Germany,All types,2010,11.2
Germany,Beer,2010,6.01
Germany,Wine,2010,3.12
Germany,Spirits,2010,2.08
Ireland,All types,2010,11.88
Ireland,Beer,2010,5.73
Ireland,Wine,2010,2.98
Ireland,Spirits,2010,2.22
New Zealand,All types,2010,9.62
New Zealand,Beer,2010,3.67
New Zealand,Wine,2010,3.26
New Zealand,Spirits,2010,1.46
Switzerland,All types,2010,10.01
Switzerland,Beer,2010,3.18
Switzerland,Wine,2010,4.94
Switzerland,Spirits,2010,1.77
United Kingdom,All types,2010,10.88
United Kingdom,Beer,2010,3.76
United Kingdom,Wine,2010,3.96
United Kingdom,Spirits,2010,2.25
USA,All types,2010,8.55
USA,Beer,2010,4.31
USA,Wine,2010,1.44
USA,Spirits,2010,2.8
Australia,All types,2009,10.62
Australia,Beer,2009,4.68
Australia,Wine,2009,3.78
Australia,Spirits,2009,1.32
Austria,All types,2009,11.3
Austria,Beer,2009,6.2
Austria,Wine,2009,3.4
Austria,Spirits,2009,1.7
Belgium,All types,2009,10.05
Belgium,Beer,2009,4.94
Belgium,Wine,2009,3.66
Belgium,Spirits,2009,1.45
Brazil,All types,2009,7.33
Brazil,Beer,2009,4.15
Brazil,Wine,2009,0.39
Brazil,Spirits,2009,2.76
Canada,All types,2009,8.4
Canada,Beer,2009,4.2
Canada,Wine,2009,1.9
Canada,Spirits,2009,2.1
Chile,All types,2009,7.67
Chile,Beer,2009,2.32
Chile,Wine,2009,2.85
Chile,Spirits,2009,2.5
Denmark,All types,2009,10.08
Denmark,Beer,2009,4.13
Denmark,Wine,2009,4.38
Denmark,Spirits,2009,1.52
Germany,All types,2009,11.22
Germany,Beer,2009,6.13
Germany,Wine,2009,3.01
Germany,Spirits,2009,2.08
Ireland,All types,2009,11.41
Ireland,Beer,2009,5.84
Ireland,Wine,2009,2.58
Ireland,Spirits,2009,2.01
New Zealand,All types,2009,9.24
New Zealand,Beer,2009,3.78
New Zealand,Wine,2009,3.07
New Zealand,Spirits,2009,1.23
Switzerland,All types,2009,10.15
Switzerland,Beer,2009,3.3
Switzerland,Wine,2009,4.84
Switzerland,Spirits,2009,1.89
United Kingdom,All types,2009,10.79
United Kingdom,Beer,2009,3.84
United Kingdom,Wine,2009,3.87
United Kingdom,Spirits,2009,2.16
USA,All types,2009,8.71
USA,Beer,2009,4.43
USA,Wine,2009,1.48
USA,Spirits,2009,2.8
