cartodb_id,the_geom,id,state,state_abbr,name,trump,clinton
101,,05065,Arkansas,AR,Izard,4042,1111
102,,05067,Arkansas,AR,Jackson,3262,1583
103,,05069,Arkansas,AR,Jefferson,9231,15721
104,,05071,Arkansas,AR,Johnson,6072,2421
105,,05073,Arkansas,AR,Lafayette,1750,1028
106,,05075,Arkansas,AR,Lawrence,4064,1263
107,,05077,Arkansas,AR,Lee,1229,1735
108,,05079,Arkansas,AR,Lincoln,2455,1252
109,,05081,Arkansas,AR,Little River,3604,1397
110,,05083,Arkansas,AR,Logan,5737,1712
111,,05085,Arkansas,AR,Lonoke,19902,5638
112,,05087,Arkansas,AR,Madison,4917,1587
113,,05089,Arkansas,AR,Marion,5077,1377
114,,05091,Arkansas,AR,Miller,11293,4273
115,,05093,Arkansas,AR,Mississippi,6988,5621
117,,05097,Arkansas,AR,Montgomery,2573,735
118,,05099,Arkansas,AR,Nevada,2001,1156
119,,05101,Arkansas,AR,Newton,2875,699
120,,05103,Arkansas,AR,Ouachita,5347,4320
121,,05105,Arkansas,AR,Perry,2979,1035
122,,05107,Arkansas,AR,Phillips,2443,4292
123,,05109,Arkansas,AR,Pike,3150,684
124,,05111,Arkansas,AR,Poinsett,3149,1878
125,,05113,Arkansas,AR,Polk,6606,1210
126,,05115,Arkansas,AR,Pope,15694,4818
127,,05117,Arkansas,AR,Prairie,2503,812
128,,05119,Arkansas,AR,Pulaski,61182,89377
129,,05121,Arkansas,AR,Randolph,4508,1425
130,,05123,Arkansas,AR,Saint Francis,3195,4031
131,,05125,Arkansas,AR,Saline,35852,13247
132,,05127,Arkansas,AR,Scott,2378,507
133,,05129,Arkansas,AR,Searcy,2955,601
134,,05131,Arkansas,AR,Sebastian,28769,12184
135,,05133,Arkansas,AR,Sevier,3281,1075
136,,05135,Arkansas,AR,Sharp,5405,1472
137,,05137,Arkansas,AR,Stone,4081,1189
138,,05139,Arkansas,AR,Union,10201,5667
139,,05141,Arkansas,AR,Van Buren,5382,1547
140,,05143,Arkansas,AR,Washington,40418,32296
141,,05145,Arkansas,AR,White,21038,5157
142,,05147,Arkansas,AR,Woodruff,1344,1117
143,,05149,Arkansas,AR,Yell,4600,1472
144,,04001,Arizona,AZ,Apache,5315,12196
145,,04003,Arizona,AZ,Cochise,25036,15291
146,,04005,Arizona,AZ,Coconino,16573,25308
147,,04007,Arizona,AZ,Gila,13672,6746
148,,04009,Arizona,AZ,Graham,8025,3301
149,,04011,Arizona,AZ,Greenlee,1892,1092
150,,04012,Arizona,AZ,La Paz,3381,1318
151,,04013,Arizona,AZ,Maricopa,590465,549040
152,,04015,Arizona,AZ,Mohave,54656,16485
153,,04017,Arizona,AZ,Navajo,18165,15362
154,,04019,Arizona,AZ,Pima,147019,195649
155,,04021,Arizona,AZ,Pinal,53857,35737
156,,04023,Arizona,AZ,Santa Cruz,3650,10684
157,,04025,Arizona,AZ,Yavapai,58862,29705
158,,04027,Arizona,AZ,Yuma,20586,18336
159,,06001,California,CA,Alameda,80824,433760
160,,06003,California,CA,Alpine,211,318
161,,06005,California,CA,Amador,10239,5904
162,,06007,California,CA,Butte,42193,38676
163,,06009,California,CA,Calaveras,11064,6740
164,,06011,California,CA,Colusa,3425,2484
165,,06013,California,CA,Contra Costa,101395,272085
166,,06015,California,CA,Del Norte,4370,2997
167,,06017,California,CA,El Dorado,37286,28026
168,,06019,California,CA,Fresno,94005,98103
169,,06021,California,CA,Glenn,3405,1766
170,,06023,California,CA,Humboldt,10883,19596
171,,06025,California,CA,Imperial,7341,18660
172,,06027,California,CA,Inyo,4163,3100
173,,06029,California,CA,Kern,119164,86481
174,,06031,California,CA,Kings,16353,11830
175,,06033,California,CA,Lake,5752,6240
176,,06035,California,CA,Lassen,7573,2224
177,,06037,California,CA,Los Angeles,578457,1760729
178,,06039,California,CA,Madera,19221,13283
179,,06041,California,CA,Marin,14214,69518
180,,06043,California,CA,Mariposa,5030,3042
181,,06045,California,CA,Mendocino,3571,6905
182,,06047,California,CA,Merced,18486,21856
183,,06049,California,CA,Modoc,2413,798
184,,06051,California,CA,Mono,1989,2551
185,,06053,California,CA,Monterey,19580,47387
186,,06055,California,CA,Napa,9335,20454
187,,06057,California,CA,Nevada,14686,16199
188,,06059,California,CA,Orange,418882,474445
189,,06061,California,CA,Placer,67355,52936
190,,06063,California,CA,Plumas,5079,3224
191,,06065,California,CA,Riverside,279072,300686
192,,06067,California,CA,Sacramento,133829,217211
193,,06069,California,CA,San Benito,5083,7722
194,,06071,California,CA,San Bernardino,246976,300719
195,,06073,California,CA,San Diego,343918,498544
196,,06075,California,CA,San Francisco,30758,269841
197,,06077,California,CA,San Joaquin,56194,71349
198,,06079,California,CA,San Luis Obispo,48271,58021
199,,06081,California,CA,San Mateo,47627,192035
200,,06083,California,CA,Santa Barbara,45788,85147
201,,06085,California,CA,Santa Clara,134507,471136
202,,06087,California,CA,Santa Cruz,14523,60529
203,,06089,California,CA,Shasta,47587,20471
204,,06091,California,CA,Sierra,1048,601
205,,06093,California,CA,Siskiyou,8392,5252
206,,06095,California,CA,Solano,48712,94622
207,,06097,California,CA,Sonoma,37421,116027
208,,06099,California,CA,Stanislaus,72960,73939
209,,06101,California,CA,Sutter,13648,9505
210,,06103,California,CA,Tehama,14981,6571
211,,06105,California,CA,Trinity,2409,1876
212,,06107,California,CA,Tulare,33372,23663
213,,06109,California,CA,Tuolumne,13486,8580
214,,06111,California,CA,Ventura,107249,154268
215,,06113,California,CA,Yolo,13178,34460
216,,06115,California,CA,Yuba,10643,6254
217,,08001,Colorado,CO,Adams,73807,86471
218,,08003,Colorado,CO,Alamosa,3031,3168
219,,08005,Colorado,CO,Arapahoe,109638,148365
220,,08007,Colorado,CO,Archuleta,4234,2489
221,,08009,Colorado,CO,Baca,1716,278
222,,08011,Colorado,CO,Bent,1166,581
223,,08013,Colorado,CO,Boulder,38766,124715
224,,08015,Colorado,CO,Chaffee,5283,4773
225,,08017,Colorado,CO,Cheyenne,905,127
226,,08019,Colorado,CO,Clear Creek,2426,2585
227,,08021,Colorado,CO,Conejos,1885,1753
228,,08023,Colorado,CO,Costilla,581,1109
229,,08025,Colorado,CO,Crowley,1069,336
230,,08027,Colorado,CO,Custer,2059,797
231,,08029,Colorado,CO,Delta,11584,4048
232,,08031,Colorado,CO,Denver,43637,174611
233,,08033,Colorado,CO,Dolores,936,227
234,,08037,Colorado,CO,Eagle,8153,12652
235,,08039,Colorado,CO,Elbert,11536,3056
236,,08041,Colorado,CO,El Paso,176506,105807
237,,08043,Colorado,CO,Fremont,15066,5275
238,,08045,Colorado,CO,Garfield,13071,11205
239,,08047,Colorado,CO,Gilpin,1564,1634
240,,08049,Colorado,CO,Grand,4467,3319
241,,08051,Colorado,CO,Gunnison,3250,5068
242,,08053,Colorado,CO,Hinsdale,339,197
243,,08055,Colorado,CO,Huerfano,1875,1631
244,,08057,Colorado,CO,Jackson,628,171
245,,08059,Colorado,CO,Jefferson,130233,151885
246,,08061,Colorado,CO,Kiowa,726,91
247,,08063,Colorado,CO,Kit Carson,2894,526
248,,08065,Colorado,CO,Lake,1264,1600
249,,08067,Colorado,CO,La Plata,12471,15300
250,,08069,Colorado,CO,Larimer,82624,92170
251,,08071,Colorado,CO,Las Animas,3656,2614
252,,08073,Colorado,CO,Lincoln,1873,399
253,,08075,Colorado,CO,Logan,7272,1843
254,,08077,Colorado,CO,Mesa,48129,20958
255,,08079,Colorado,CO,Mineral,344,237
256,,08081,Colorado,CO,Moffat,5293,874
257,,08083,Colorado,CO,Montezuma,7771,3920
258,,08085,Colorado,CO,Montrose,14303,5438
259,,08087,Colorado,CO,Morgan,8104,3128
260,,08089,Colorado,CO,Otero,2988,1719
261,,08091,Colorado,CO,Ouray,1337,1690
262,,08095,Colorado,CO,Phillips,1791,436
263,,08097,Colorado,CO,Pitkin,2522,7239
264,,08099,Colorado,CO,Prowers,3508,1173
265,,08101,Colorado,CO,Pueblo,27746,27945
266,,08103,Colorado,CO,Rio Blanco,2782,433
267,,08105,Colorado,CO,Rio Grande,3060,1985
268,,08107,Colorado,CO,Routt,5149,7487
269,,08109,Colorado,CO,Saguache,1109,1345
270,,08111,Colorado,CO,San Juan,215,265
271,,08113,Colorado,CO,San Miguel,1030,2960
272,,08115,Colorado,CO,Sedgwick,1015,267
273,,08117,Colorado,CO,Summit,5064,9502
274,,08119,Colorado,CO,Teller,9580,3547
275,,08121,Colorado,CO,Washington,2284,289
276,,08123,Colorado,CO,Weld,75882,45869
277,,08125,Colorado,CO,Yuma,3755,701
278,,08035,Colorado,CO,Douglas,100178,67045
