company,paid_leave_weeks
Netflix,52
Army (British),39
Adobe Systems,26
Zynga,26
Open Society Foundations,24
"Orrick, Herrington & Sutcliffe LLP",23
FireEye,22
Mitie,21
Yammer,20
Squarespace,18
Optimizely,17
Paypal,16
"Sheppard, Mullin, Richter & Hampton LLP",15
NVIDIA,14
Fitbit Inc,13
Stanford University,12
