year,gdp,country,continent
2015,10312.136669094301,Kazakhstan,Asia
2015,1376.72326842587,Kenya,Africa
1970,223.816260245546,Kenya,Africa
2015,1442.86738821981,Kiribati,Oceania
1970,394.590565125922,Kiribati,Oceania
2015,29303.896685174102,Kuwait,Asia
1970,3829.4589807987,Kuwait,Asia
2015,1106.3796377197198,Kyrgyzstan,Asia
2015,13704.1463231068,Latvia,Europe
2015,8571.370090186641,Lebanon,Asia
1970,865.997881368242,Lebanon,Asia
2015,940.5965240860111,Lesotho,Africa
1970,65.22780951584001,Lesotho,Africa
2015,455.873934536237,Liberia,Africa
1970,182.45135054038502,Liberia,Africa
2015,5488.16828506271,Libya,Africa
1970,1881.9194390062198,Libya,Africa
2015,14383.668089864099,Lithuania,Europe
2015,100160.83556209,Luxembourg,Europe
1970,4430.58612892502,Luxembourg,Europe
2015,401.836001463694,Madagascar,Africa
1970,136.56016390257201,Madagascar,Africa
2015,372.91424141854304,Malawi,Africa
1970,125.800864857363,Malawi,Africa
2015,9768.36841138141,Malaysia,Asia
1970,354.228188865058,Malaysia,Asia
2015,9446.452452798101,Maldives,Asia
1970,363.29885281059404,Maldives,Asia
2015,744.346096636929,Mali,Africa
1970,58.837138797881295,Mali,Africa
2015,23280.680433780497,Malta,Europe
1970,851.888175535775,Malta,Europe
2015,1234.99991396683,Mauritania,Africa
1970,281.97647764883,Mauritania,Africa
2015,9040.87634843459,Mauritius,Africa
1970,238.163909105421,Mauritius,Africa
2015,8980.86215568429,Mexico,N. America
1970,850.120397900143,Mexico,N. America
2015,3973.43990084485,Mongolia,Asia
1970,155.58431971133498,Mongolia,Asia
2015,6424.08775710508,Montenegro,Europe
2015,2919.3227553074103,Morocco,Africa
1970,289.587484108115,Morocco,Africa
2015,529.211609852332,Mozambique,Africa
1970,390.55609014474703,Mozambique,Africa
2015,1161.4832340637,Myanmar,Asia
1970,99.11008191851,Myanmar,Asia
2015,4673.55593497493,Namibia,Africa
1970,810.636166155055,Namibia,Africa
2015,724.506419334003,Nepal,Asia
1970,86.8243117365818,Nepal,Asia
2015,44332.124335975495,Netherlands,Europe
1970,2906.1572281893,Netherlands,Europe
2015,38294.2599628371,New Zealand,Oceania
1970,2303.88631373766,New Zealand,Oceania
2015,2086.8915619448003,Nicaragua,N. America
1970,477.07831603945397,Nicaragua,N. America
2015,358.95814748735495,Niger,Africa
1970,94.90628153721201,Niger,Africa
2015,2714.4746330941,Nigeria,Africa
1970,426.177892757424,Nigeria,Africa
2015,74185.5482355888,Norway,Europe
1970,3306.27552289055,Norway,Europe
2015,15550.8500020055,Oman,Asia
1970,370.808065826122,Oman,Asia
2015,1410.39271979117,Pakistan,Asia
1970,226.17151018523103,Pakistan,Asia
2015,13268.1137548894,Panama,N. America
1970,754.850238235811,Panama,N. America
2015,2797.55333403895,Papua New Guinea,Oceania
1970,448.08555083672996,Papua New Guinea,Oceania
2015,4174.3640336939,Paraguay,S. America
1970,212.395019524352,Paraguay,S. America
2015,6069.09132427143,Peru,S. America
1970,436.926673097871,Peru,S. America
2015,2904.17945325133,Philippines,Asia
1970,207.043219992144,Philippines,Asia
2015,12355.459433895501,Poland,Europe
1970,861.6586575453081,Poland,Europe
2015,19239.176475180302,Portugal,Europe
1970,935.231296576593,Portugal,Europe
2015,73653.3944346574,Qatar,Asia
1970,4929.48437980627,Qatar,Asia
2015,9120.650690243441,Romania,Europe
1970,619.0007184434501,Romania,Europe
2015,697.348219477715,Rwanda,Africa
1970,60.67510022991,Rwanda,Africa
2015,7839.3761387699205,Saint Lucia,N. America
1970,326.971510560195,Saint Lucia,N. America
2015,6739.1747448971,Saint Vincent and the Grenadines,N. America
1970,233.755342200466,Saint Vincent and the Grenadines,N. America
2015,4005.99910672509,Samoa,Oceania
1970,280.598375257184,Samoa,Oceania
2015,1752.77110818947,Sao Tome and Principe,Africa
1970,476.61031436031504,Sao Tome and Principe,Africa
2015,20710.576493686698,Saudi Arabia,Asia
1970,921.334028213675,Saudi Arabia,Asia
2015,901.071273341967,Senegal,Africa
1970,225.71406888436798,Senegal,Africa
2015,5238.56831674703,Serbia,Europe
2015,14133.159918032901,Seychelles,Africa
1970,425.32566409891405,Seychelles,Africa
2015,694.757624946481,Sierra Leone,Africa
1970,181.18419279544997,Sierra Leone,Africa
2015,52239.0245780046,Singapore,Asia
1970,925.472728417634,Singapore,Asia
2015,20689.8183243622,Slovenia,Europe
2015,1841.6373680481302,Solomon Islands,Oceania
1970,199.835332574081,Solomon Islands,Oceania
2015,144.545663035739,Somalia,Africa
1970,98.9793841379275,Somalia,Africa
2015,5772.964536564809,South Africa,Africa
1970,829.0830006763609,South Africa,Africa
2015,1067.04469719275,South Sudan,Africa
2015,25865.384548961,Spain,Europe
1970,1205.0980881529401,Spain,Europe
2015,3973.74486570485,Sri Lanka,Asia
1970,225.43596796387797,Sri Lanka,Asia
2015,1977.03616995812,Sudan,Africa
2015,8985.338093318309,Suriname,S. America
1970,959.852005067786,Suriname,S. America
2015,3211.69443321909,Swaziland,Africa
1970,347.03237404331594,Swaziland,Africa
2015,50687.469449797005,Sweden,Europe
1970,4665.80504043021,Sweden,Europe
2015,80831.08433369099,Switzerland,Europe
1970,3924.8115809288597,Switzerland,Europe
2015,925.9093837648101,Tajikistan,Asia
2015,5814.77003356402,Thailand,Asia
1970,199.91810348758,Thailand,Asia
2015,2425.3657071233497,Timor-Leste,Asia
2015,559.371523791642,Togo,Africa
1970,125.134966562237,Togo,Africa
2015,3784.48458888022,Tonga,Oceania
1970,202.64546755485802,Tonga,Oceania
2015,19062.8993041606,Trinidad and Tobago,N. America
1970,868.9254495674401,Trinidad and Tobago,N. America
2015,3660.9341972801294,Tunisia,Africa
1970,312.258412209175,Tunisia,Africa
2015,9125.790935565601,Turkey,Asia
1970,702.981691318143,Turkey,Asia
2015,6996.74198269817,Turkmenistan,Asia
2015,647.715663304539,Uganda,Africa
1970,150.733360190211,Uganda,Africa
2015,2021.58458995871,Ukraine,Europe
2015,40438.7715000363,United Arab Emirates,Asia
1970,4474.711249891289,United Arab Emirates,Asia
2015,56053.8411551815,United States,N. America
1970,5135.9088016879405,United States,N. America
2015,15573.8085056085,Uruguay,S. America
1970,903.141171767205,Uruguay,S. America
2015,2308.3320957866,Uzbekistan,Asia
2015,2783.0144584784102,Vanuatu,Oceania
1970,445.14387770547404,Vanuatu,Oceania
2015,1311.09899500042,Zambia,Africa
1970,368.949411950399,Zambia,Africa
2015,890.421575656754,Zimbabwe,Africa
1970,388.472837293047,Zimbabwe,Africa
