location,lat,long,score
"Waffle House-Montgomery,AL",32.268639,-86.357062,10
"Waffle House-Montgomery,AL",32.36612,-86.139617,10
"Waffle House-Montgomery,AL",32.326889,-86.33251,5
"Waffle House-Moody,AL",33.570829,-86.519783,6
"Waffle House-Northport,AL",33.239309,-87.577886,7
"Waffle House-Opelika,AL",32.616585,-85.405733,5
"Waffle House-Opelika,AL",32.644696,-85.354952,10
"Waffle House-Orange Beach,AL",30.267355,-87.596392,10
"Waffle House-Oxford,AL",33.6033127,-85.8322609,8
"Waffle House-Oxford,AL",33.615737,-85.827743,5
"Waffle House-Oxford,AL",33.613527,-85.78787,7
"Waffle House-Ozark,AL",31.449023,-85.659188,10
"Waffle House-Pelham,AL",33.28529,-86.812559,8
"Waffle House-Pelham,AL",33.297865,-86.810658,5
"Waffle House-Pell City,AL",33.602536,-86.282588,8
"Waffle House-Phenix City,AL",32.468253,-85.028439,5
"Waffle House-Phenix City,AL",32.486798,-85.018394,7
"Waffle House-Phenix City,AL",32.4972763,-85.0221405,7
"Waffle House-Phenix City,AL",32.496659,-85.015168,6
"Waffle House-Phenix City,AL",32.470023,-85.090215,6
"Waffle House-Pinson,AL",33.694202,-86.682081,5
"Waffle House-Prattville,AL",32.460426,-86.389679,5
"Waffle House-Prattville,AL",32.487205,-86.411017,5
"Waffle House-Robertsdale,AL",30.539637,-87.708351,5
"Waffle House-Saraland,AL",30.802315,-88.101566,9
"Waffle House-Saraland,AL",30.803321,-88.071893,6
"Waffle House-Satsuma,AL",30.870475,-88.046538,8
"Waffle House-Semmes,AL",30.763522,-88.225591,9
"Waffle House-Springville,AL",33.778977,-86.43007,9
"Waffle House-Summerdale,AL",30.471399,-87.701557,10
"Waffle House-Theodore,AL",30.574802,-88.170962,8
"Waffle House-Theodore,AL",30.560471,-88.206922,8
"Waffle House-Troy,AL",31.782534,-85.953257,6
"Waffle House-Trussville,AL",33.639607,-86.615771,9
"Waffle House-Tuscaloosa,AL",33.211069,-87.554648,7
"Waffle House-Tuscaloosa,AL",33.177825,-87.524648,8
"Waffle House-Tuscaloosa,AL",33.176447,-87.470757,10
"Waffle House-Tuscaloosa,AL",33.165991,-87.551787,7
"Waffle House-Tuscaloosa,AL",33.127149,-87.549124,5
"Waffle House-Tuscumbia,AL",34.712653,-87.667635,9
"Waffle House-Valley,AL",32.84645,-85.183826,10
"Waffle House-Valley,AL",32.8177,-85.207614,7
"Waffle House-Vestavia Hills,AL",33.415016,-86.805723,8
"Waffle House-Wetumpka,AL",32.528684,-86.205293,5
"Waffle House-Arkadelphia,AR",34.180355,-93.070735,6
"Waffle House-Beebe,AR",35.068951,-91.910215,3
"Waffle House-Benton,AR",34.575035,-92.590271,4
"Waffle House-Bentonville,AR",36.335123,-94.185659,5
"Waffle House-Brinkley,AR",34.903922,-91.198031,5
"Waffle House-Bryant,AR",34.620823,-92.498843,4
"Waffle House-Cabot,AR",34.976593,-92.027062,6
"Waffle House-Cabot,AR",34.946383,-92.061493,2
