,CHSI_County_Name,Strata_ID_Number,CHSI_State_Name,Population_Density,Min_Population_Density,Max_Population_Density,Population_gap
2757,Waller,52,Texas,68,46,68,22
2041,Adams,52,Ohio,49,46,68,22
1918,Duplin,52,North Carolina,64,46,68,22
3017,Mason,52,West Virginia,60,46,68,22
170,St. Francis,52,Arkansas,44,46,68,22
2438,Claiborne,52,Tennessee,71,46,68,22
2348,Marlboro,52,South Carolina,58,46,68,22
1453,Pearl River,52,Mississippi,65,46,68,22
1404,Bolivar,52,Mississippi,44,46,68,22
418,Coffee,52,Georgia,66,46,68,22
2327,Clarendon,52,South Carolina,55,46,68,22
1465,Sunflower,52,Mississippi,47,46,68,22
3045,Wyoming,52,West Virginia,49,46,68,22
1444,Marion,52,Mississippi,47,46,68,22
513,Sumter,52,Georgia,68,46,68,22
1448,Neshoba,52,Mississippi,52,46,68,22
2645,Jim Wells,52,Texas,47,46,68,22
2548,Caldwell,52,Texas,67,46,68,22
1440,Leflore,52,Mississippi,62,46,68,22
1441,Lincoln,52,Mississippi,58,46,68,22
1445,Marshall,52,Mississippi,50,46,68,22
1412,Coahoma,52,Mississippi,52,46,68,22
1452,Panola,52,Mississippi,52,46,68,22
348,Jackson,52,Florida,53,46,68,22
427,Decatur,52,Georgia,48,46,68,22
286,Morgan,34,Colorado,22,22,70,48
2169,Lincoln,34,Oklahoma,34,22,70,48
2721,Rusk,34,Texas,52,22,70,48
2745,Titus,34,Texas,72,22,70,48
1314,Becker,34,Minnesota,24,22,70,48
1730,Scotts Bluff,34,Nebraska,50,22,70,48
1322,Cass,34,Minnesota,14,22,70,48
1533,Laclede,34,Missouri,45,22,70,48
2750,Upshur,34,Texas,64,22,70,48
2632,Hopkins,34,Texas,43,22,70,48
378,Suwannee,34,Florida,56,22,70,48
230,Siskiyou,34,California,7,22,70,48
1201,Garrett,34,Maryland,46,22,70,48
1544,Marion,34,Missouri,65,22,70,48
2641,Jasper,34,Texas,38,22,70,48
1535,Lawrence,34,Missouri,61,22,70,48
633,Jefferson,34,Illinois,71,22,70,48
2164,Kay,34,Oklahoma,51,22,70,48
1894,Beaufort,34,North Carolina,56,22,70,48
1838,Delaware,34,New York,33,22,70,48
2569,Cooke,34,Texas,44,22,70,48
653,Marion,34,Illinois,70,22,70,48
2376,Davison,60,South Dakota,43,30,71,41
2916,Buena Vista City,60,Virginia,942,30,71,41
1238,Benzie,60,Michigan,55,30,71,41
874,Union,60,Iowa,28,30,71,41
1471,Union,60,Mississippi,64,30,71,41
523,Towns,60,Georgia,62,30,71,41
538,White,60,Georgia,100,30,71,41
604,Clark,60,Illinois,34,30,71,41
859,Page,60,Iowa,30,30,71,41
772,Switzerland,60,Indiana,44,30,71,41
1948,Mitchell,60,North Carolina,71,30,71,41
503,Rabun,60,Georgia,43,30,71,41
615,Edgar,60,Illinois,31,30,71,41
771,Sullivan,60,Indiana,49,30,71,41
2433,Cannon,60,Tennessee,50,30,71,41
855,Montgomery,60,Iowa,27,30,71,41
2505,Smith,60,Tennessee,59,30,71,41
2885,Patrick,60,Virginia,40,30,71,41
686,Warren,60,Illinois,32,30,71,41
732,Jay,60,Indiana,56,30,71,41
1233,Antrim,60,Michigan,51,30,71,41
820,Floyd,60,Iowa,33,30,71,41
2464,Henderson,60,Tennessee,51,30,71,41
595,Bond,60,Illinois,47,30,71,41
601,Cass,60,Illinois,37,30,71,41
618,Fayette,60,Illinois,30,30,71,41
848,Mahaska,60,Iowa,39,30,71,41
2878,Nelson,60,Virginia,32,30,71,41
2876,Middlesex,60,Virginia,81,30,71,41
2873,Madison,60,Virginia,42,30,71,41
1427,Itawamba,60,Mississippi,44,30,71,41
2424,Yankton,60,South Dakota,42,30,71,41
818,Emmet,60,Iowa,27,30,71,41
605,Clay,60,Illinois,30,30,71,41
2884,Page,60,Virginia,77,30,71,41
819,Fayette,60,Iowa,29,30,71,41
2881,Northumberland,60,Virginia,67,30,71,41
753,Orange,60,Indiana,49,30,71,41
2852,Giles,60,Virginia,48,30,71,41
3046,Adams,60,Wisconsin,32,30,71,41
1507,Cooper,60,Missouri,31,30,71,41
2823,Appomattox,60,Virginia,42,30,71,41
3023,Morgan,60,West Virginia,70,30,71,41
3115,Waushara,60,Wisconsin,40,30,71,41
757,Pike,60,Indiana,38,30,71,41
755,Parke,60,Indiana,39,30,71,41
2848,Floyd,60,Virginia,38,30,71,41
643,Lawrence,60,Illinois,43,30,71,41
2129,Adair,69,Oklahoma,38,38,76,38
341,Hardee,69,Florida,44,38,76,38
1157,St. James,69,Louisiana,86,38,76,38
2843,Dickenson,69,Virginia,49,38,76,38
1114,Assumption,69,Louisiana,68,38,76,38
1149,Pointe Coupee,69,Louisiana,40,38,76,38
449,Grady,69,Georgia,53,38,76,38
450,Greene,69,Georgia,40,38,76,38
1050,Knott,69,Kentucky,50,38,76,38
1411,Clay,69,Mississippi,52,38,76,38
2460,Hardeman,69,Tennessee,42,38,76,38
2474,Lauderdale,69,Tennessee,57,38,76,38
424,Crisp,69,Georgia,80,38,76,38
421,Cook,69,Georgia,71,38,76,38
2456,Grundy,69,Tennessee,41,38,76,38
1420,Grenada,69,Mississippi,54,38,76,38
380,Union,69,Florida,62,38,76,38
387,Bacon,69,Georgia,36,38,76,38
543,Worth,69,Georgia,39,38,76,38
1981,Washington,69,North Carolina,38,38,76,38
1414,Covington,69,Mississippi,49,38,76,38
1089,Powell,69,Kentucky,76,38,76,38
2501,Scott,69,Tennessee,41,38,76,38
2318,Bamberg,69,South Carolina,40,38,76,38
1070,Martin,69,Kentucky,53,38,76,38
464,Jeff Davis,69,Georgia,39,38,76,38
483,Meriwether,69,Georgia,46,38,76,38
1540,McDonald,69,Missouri,42,38,76,38
470,Lanier,69,Georgia,40,38,76,38
478,McDuffie,69,Georgia,84,38,76,38
485,Mitchell,69,Georgia,46,38,76,38
1129,East Feliciana,69,Louisiana,46,38,76,38
393,Ben Hill,69,Georgia,69,38,76,38
497,Pierce,69,Georgia,50,38,76,38
1472,Walthall,69,Mississippi,38,38,76,38
394,Berrien,69,Georgia,37,38,76,38
438,Evans,69,Georgia,62,38,76,38
1045,Jackson,69,Kentucky,39,38,76,38
495,Peach,69,Georgia,164,38,76,38
2344,Lee,69,South Carolina,50,38,76,38
1054,Lawrence,69,Kentucky,39,38,76,38
1064,McCreary,69,Kentucky,40,38,76,38
1067,Magoffin,69,Kentucky,44,38,76,38
1016,Clay,69,Kentucky,51,38,76,38
2319,Barnwell,69,South Carolina,43,38,76,38
851,Mills,38,Iowa,35,10,77,67
1360,Morrison,31,Minnesota,29,17,77,60
589,Teton,38,Idaho,17,10,77,67
1371,Polk,31,Minnesota,16,17,77,60
3108,Vernon,31,Wisconsin,37,17,77,60
1379,Roseau,38,Minnesota,10,10,77,67
275,Lake,38,Colorado,21,10,77,67
2867,King William,38,Virginia,53,10,77,67
2400,Lincoln,38,South Dakota,58,10,77,67
651,Macoupin,31,Illinois,57,17,77,60
1304,Sanilac,31,Michigan,46,17,77,60
775,Union,38,Indiana,45,10,77,67
1195,Caroline,31,Maryland,99,17,77,60
890,Barton,31,Kansas,31,17,77,60
768,Spencer,38,Indiana,51,10,77,67
1342,Itasca,31,Minnesota,17,17,77,60
903,Cowley,31,Kansas,31,17,77,60
750,Newton,38,Indiana,36,10,77,67
1297,Otsego,38,Michigan,48,10,77,67
926,Haskell,38,Kansas,7,10,77,67
492,Oconee,38,Georgia,160,10,77,67
708,Daviess,31,Indiana,71,17,77,60
262,Elbert,38,Colorado,12,10,77,67
1345,Kandiyohi,31,Minnesota,52,17,77,60
929,Jefferson,38,Kansas,36,10,77,67
718,Franklin,38,Indiana,60,10,77,67
1331,Dodge,38,Minnesota,45,10,77,67
3070,Iowa,38,Wisconsin,31,10,77,67
634,Jersey,38,Illinois,61,10,77,67
285,Montrose,31,Colorado,17,17,77,60
1534,Lafayette,31,Missouri,53,17,77,60
2856,Greene,38,Virginia,111,10,77,67
1560,Pettis,31,Missouri,59,17,77,60
2525,Archer,38,Texas,10,10,77,67
2103,Paulding,38,Ohio,47,10,77,67
2789,Morgan,38,Utah,13,10,77,67
2076,Highland,31,Ohio,77,17,77,60
2056,Coshocton,31,Ohio,65,17,77,60
3138,Uinta,38,Wyoming,10,10,77,67
2800,Wasatch,38,Utah,16,10,77,67
2299,Susquehanna,31,Pennsylvania,51,17,77,60
2866,King George,38,Virginia,115,10,77,67
1569,Ray,38,Missouri,42,10,77,67
2016,Mercer,38,North Dakota,8,10,77,67
1664,Cass,38,Nebraska,46,10,77,67
1754,Lyon,31,Nevada,24,17,77,60
1875,Seneca,31,New York,107,17,77,60
1574,Ste. Genevieve,38,Missouri,36,10,77,67
302,Teller,38,Colorado,39,10,77,67
1735,Stanton,38,Nebraska,15,10,77,67
2373,Codington,31,South Dakota,38,17,77,60
1740,Washington,38,Nebraska,51,10,77,67
1707,Lincoln,31,Nebraska,14,17,77,60
1589,Warren,38,Missouri,67,10,77,67
1673,Dakota,38,Nebraska,77,10,77,67
2391,Hughes,38,South Dakota,23,10,77,67
3055,Clark,31,Wisconsin,28,17,77,60
1959,Perquimans,73,North Carolina,49,44,79,35
2471,Johnson,73,Tennessee,61,44,79,35
2461,Hardin,73,Tennessee,45,44,79,35
3036,Taylor,73,West Virginia,94,44,79,35
3039,Upshur,73,West Virginia,67,44,79,35
1094,Russell,73,Kentucky,67,44,79,35
3042,Wetzel,73,West Virginia,48,44,79,35
2552,Camp,73,Texas,62,44,79,35
2093,Meigs,73,Ohio,54,44,79,35
1980,Warren,73,North Carolina,46,44,79,35
1953,Northampton,73,North Carolina,40,44,79,35
2869,Lee,73,Virginia,54,44,79,35
3011,Lewis,73,West Virginia,45,44,79,35
1209,Somerset,73,Maryland,79,44,79,35
2524,Aransas,73,Texas,98,44,79,35
2882,Nottoway,73,Virginia,49,44,79,35
1017,Clinton,73,Kentucky,48,44,79,35
1040,Hart,73,Kentucky,44,44,79,35
991,Adair,73,Kentucky,43,44,79,35
2991,Barbour,73,West Virginia,46,44,79,35
2888,Prince Edward,73,Virginia,58,44,79,35
1071,Mason,73,Kentucky,71,44,79,35
2880,Northampton,73,Virginia,65,44,79,35
1011,Carroll,44,Kentucky,80,28,80,52
516,Tattnall,44,Georgia,48,28,80,52
1048,Johnson,44,Kentucky,92,28,80,52
1033,Grayson,44,Kentucky,50,28,80,52
1023,Estill,44,Kentucky,59,28,80,52
1021,Edmonson,44,Kentucky,40,28,80,52
1006,Butler,44,Kentucky,31,28,80,52
2450,Fentress,44,Tennessee,34,28,80,52
148,Lincoln,44,Arkansas,25,28,80,52
2429,Bledsoe,44,Tennessee,32,28,80,52
1112,Allen,44,Louisiana,33,28,80,52
2372,Clay,44,South Dakota,32,28,80,52
1078,Morgan,44,Kentucky,38,28,80,52
2346,McCormick,44,South Carolina,28,28,80,52
1093,Rowan,44,Kentucky,79,28,80,52
1055,Lee,44,Kentucky,37,28,80,52
2516,Wayne,44,Tennessee,23,28,80,52
1106,Wayne,44,Kentucky,44,28,80,52
429,Dodge,44,Georgia,39,28,80,52
43,Macon,44,Alabama,37,28,80,52
350,Lafayette,44,Florida,15,28,80,52
321,Bradford,44,Florida,96,28,80,52
2490,Morgan,44,Tennessee,39,28,80,52
2832,Buckingham,44,Virginia,28,28,80,52
2830,Brunswick,44,Virginia,32,28,80,52
2322,Calhoun,44,South Carolina,40,28,80,52
3012,Lincoln,44,West Virginia,51,28,80,52
2473,Lake,44,Tennessee,46,28,80,52
1173,West Feliciana,44,Louisiana,37,28,80,52
1092,Rockcastle,44,Kentucky,53,28,80,52
1077,Montgomery,44,Kentucky,122,28,80,52
1068,Marion,44,Kentucky,55,28,80,52
1059,Lincoln,44,Kentucky,75,28,80,52
1711,Madison,47,Nebraska,62,17,83,66
759,Posey,47,Indiana,66,17,83,66
725,Harrison,47,Indiana,76,17,83,66
265,Garfield,47,Colorado,17,17,83,66
3093,Pierce,47,Wisconsin,68,17,83,66
2796,Summit,47,Utah,19,17,83,66
3120,Campbell,47,Wyoming,8,17,83,66
617,Effingham,47,Illinois,72,17,83,66
2776,Box Elder,47,Utah,8,17,83,66
606,Clinton,47,Illinois,76,17,83,66
2960,Douglas,47,Washington,19,17,83,66
1385,Steele,47,Minnesota,83,17,83,66
659,Monroe,47,Illinois,80,17,83,66
1722,Platte,47,Nebraska,46,17,83,66
710,Decatur,47,Indiana,68,17,83,66
877,Warren,47,Iowa,75,17,83,66
694,Woodford,47,Illinois,71,17,83,66
1747,Douglas,47,Nevada,66,17,83,66
2291,Perry,47,Pennsylvania,81,17,83,66
2109,Putnam,47,Ohio,72,17,83,66
946,Miami,47,Kansas,53,17,83,66
734,Jennings,47,Indiana,75,17,83,66
2075,Henry,47,Ohio,71,17,83,66
731,Jasper,47,Indiana,57,17,83,66
730,Jackson,47,Indiana,83,17,83,66
76,Juneau,47,Alaska,11,17,83,66
1341,Isanti,47,Minnesota,86,17,83,66
870,Sioux,47,Iowa,42,17,83,66
763,Ripley,47,Indiana,62,17,83,66
2210,Columbia,47,Oregon,73,17,83,66
784,Wells,47,Indiana,76,17,83,66
261,Eagle,47,Colorado,28,17,83,66
811,Dallas,47,Iowa,88,17,83,66
2099,Morrow,47,Ohio,84,17,83,66
3088,Oconto,27,Wisconsin,38,33,85,52
706,Clinton,27,Indiana,84,33,85,52
598,Bureau,27,Illinois,41,33,85,52
3048,Barron,27,Wisconsin,53,33,85,52
2121,Van Wert,27,Ohio,71,33,85,52
681,Stephenson,27,Illinois,85,33,85,52
2933,Manassas City,27,Virginia,3783,33,85,52
3080,Lincoln,27,Wisconsin,34,33,85,52
1336,Goodhue,27,Minnesota,60,33,85,52
925,Harvey,27,Kansas,63,33,85,52
3067,Grant,27,Wisconsin,43,33,85,52
1332,Douglas,27,Minnesota,55,33,85,52
3104,Shawano,27,Wisconsin,46,33,85,52
1319,Brown,27,Minnesota,43,33,85,52
1320,Carlton,27,Minnesota,40,33,85,52
942,McPherson,27,Kansas,33,33,85,52
2086,Logan,27,Ohio,102,33,85,52
792,Benton,27,Iowa,38,33,85,52
785,White,27,Indiana,48,33,85,52
3068,Green,27,Wisconsin,60,33,85,52
1354,McLeod,27,Minnesota,74,33,85,52
981,Sumner,27,Kansas,21,33,85,52
3094,Polk,27,Wisconsin,48,33,85,52
630,Iroquois,27,Illinois,27,33,85,52
837,Jefferson,39,Iowa,37,10,86,76
477,Lumpkin,39,Georgia,86,10,86,76
2040,Williams,39,North Dakota,9,10,86,76
1914,Currituck,39,North Carolina,88,10,86,76
468,Jones,39,Georgia,68,10,86,76
2032,Stark,39,North Dakota,16,10,86,76
2017,Morton,39,North Dakota,13,10,86,76
754,Owen,39,Indiana,59,10,86,76
472,Lee,39,Georgia,87,10,86,76
745,Martin,39,Indiana,31,10,86,76
1902,Camden,39,North Carolina,37,10,86,76
456,Harris,39,Georgia,60,10,86,76
390,Banks,39,Georgia,69,10,86,76
769,Starke,39,Indiana,74,10,86,76
2821,Amelia,39,Virginia,34,10,86,76
2828,Bland,39,Virginia,19,10,86,76
1874,Schuyler,39,New York,59,10,86,76
2691,Moore,39,Texas,23,10,86,76
2834,Caroline,39,Virginia,48,10,86,76
2836,Charles City,39,Virginia,39,10,86,76
766,Scott,39,Indiana,125,10,86,76
2556,Chambers,39,Texas,47,10,86,76
1658,Box Butte,39,Nebraska,11,10,86,76
707,Crawford,39,Indiana,37,10,86,76
2811,Lamoille,39,Vermont,53,10,86,76
2399,Lawrence,39,South Dakota,28,10,86,76
426,Dawson,39,Georgia,93,10,86,76
382,Wakulla,39,Florida,47,10,86,76
2871,Louisa,39,Virginia,60,10,86,76
2198,Texas,39,Oklahoma,10,10,86,76
919,Grant,39,Kansas,13,10,86,76
496,Pickens,39,Georgia,123,10,86,76
1122,Cameron,39,Louisiana,7,10,86,76
2699,Ochiltree,39,Texas,10,10,86,76
1097,Simpson,39,Kentucky,72,10,86,76
568,Elmore,39,Idaho,9,10,86,76
569,Franklin,39,Idaho,19,10,86,76
574,Jefferson,39,Idaho,20,10,86,76
1036,Hancock,39,Kentucky,46,10,86,76
2468,Humphreys,39,Tennessee,34,10,86,76
1268,Kalkaska,39,Michigan,31,10,86,76
2270,Fulton,39,Pennsylvania,34,10,86,76
399,Bryan,39,Georgia,65,10,86,76
982,Thomas,39,Kansas,7,10,86,76
980,Stevens,39,Kansas,7,10,86,76
135,Grant,39,Arkansas,27,10,86,76
2901,Southampton,39,Virginia,29,10,86,76
410,Chattahoochee,39,Georgia,59,10,86,76
498,Pike,39,Georgia,74,10,86,76
1098,Spencer,39,Kentucky,84,10,86,76
1456,Pontotoc,39,Mississippi,57,10,86,76
717,Fountain,55,Indiana,44,28,87,59
992,Allen,65,Kentucky,54,49,87,38
2909,Westmoreland,65,Virginia,75,49,87,38
609,Crawford,55,Illinois,45,28,87,59
612,De Witt,55,Illinois,42,28,87,59
2839,Clarke,55,Virginia,80,28,87,59
2437,Chester,65,Tennessee,55,49,87,38
2442,Crockett,65,Tennessee,55,49,87,38
2446,DeKalb,65,Tennessee,60,49,87,38
719,Fulton,55,Indiana,56,28,87,59
2921,Danville City,35,Virginia,1072,32,87,55
2979,San Juan,55,Washington,87,28,87,59
19,Covington,35,Alabama,36,32,87,55
1030,Garrard,65,Kentucky,72,49,87,38
439,Fannin,65,Georgia,57,49,87,38
1039,Harrison,65,Kentucky,60,49,87,38
2855,Grayson,65,Virginia,37,49,87,38
882,Winneshiek,55,Iowa,31,28,87,59
443,Franklin,65,Georgia,82,49,87,38
656,Massac,65,Illinois,64,49,87,38
54,Pike,35,Alabama,44,32,87,55
616,Edwards,55,Illinois,31,28,87,59
600,Carroll,55,Illinois,36,28,87,59
2883,Orange,55,Virginia,89,28,87,59
354,Levy,35,Florida,34,32,87,55
2874,Mathews,55,Virginia,107,28,87,59
2659,Lamar,35,Texas,54,32,87,55
1357,Martin,55,Minnesota,30,28,87,59
383,Walton,35,Florida,48,32,87,55
1254,Gladwin,65,Michigan,54,49,87,38
330,DeSoto,35,Florida,56,32,87,55
1364,Nobles,55,Minnesota,29,28,87,59
1568,Randolph,65,Missouri,53,49,87,38
377,Sumter,35,Florida,118,32,87,55
1492,Butler,35,Missouri,59,32,87,55
1685,Gage,55,Nebraska,27,28,87,59
1731,Seward,55,Nebraska,29,28,87,59
1468,Tippah,65,Mississippi,46,49,87,38
1273,Leelanau,55,Michigan,64,28,87,59
1246,Clare,35,Michigan,56,32,87,55
1243,Charlevoix,55,Michigan,64,28,87,59
1517,Gasconade,55,Missouri,30,28,87,59
798,Butler,55,Iowa,26,28,87,59
411,Chattooga,65,Georgia,85,49,87,38
2518,White,65,Tennessee,64,49,87,38
2868,Lancaster,65,Virginia,87,49,87,38
2511,Unicoi,65,Tennessee,94,49,87,38
2510,Trousdale,65,Tennessee,67,49,87,38
626,Hancock,55,Illinois,24,28,87,59
619,Ford,55,Illinois,29,28,87,59
702,Carroll,55,Indiana,55,28,87,59
1052,Larue,65,Kentucky,52,49,87,38
2650,Kendall,55,Texas,43,28,87,59
3069,Green Lake,55,Wisconsin,54,28,87,59
1204,Kent,55,Maryland,71,28,87,59
1987,Yancey,65,North Carolina,58,49,87,38
1189,Washington,35,Maine,13,32,87,55
2195,Seminole,35,Oklahoma,39,32,87,55
1218,Dukes,55,Massachusetts,150,28,87,59
2190,Pontotoc,35,Oklahoma,49,32,87,55
2135,Bryan,35,Oklahoma,42,32,87,55
3032,Randolph,35,West Virginia,27,32,87,55
2186,Ottawa,35,Oklahoma,70,32,87,55
2153,Garvin,35,Oklahoma,34,32,87,55
457,Hart,65,Georgia,104,49,87,38
1079,Muhlenberg,35,Kentucky,66,32,87,55
2275,Juniata,55,Pennsylvania,60,28,87,59
2288,Montour,55,Pennsylvania,138,28,87,59
1234,Arenac,65,Michigan,47,49,87,38
2314,Abbeville,65,South Carolina,51,49,87,38
1074,Mercer,65,Kentucky,86,49,87,38
1892,Ashe,65,North Carolina,59,49,87,38
1893,Avery,65,North Carolina,71,49,87,38
528,Union,65,Georgia,61,49,87,38
2149,Delaware,35,Oklahoma,53,32,87,55
1907,Cherokee,65,North Carolina,57,49,87,38
1170,Webster,35,Louisiana,69,32,87,55
1962,Polk,55,North Carolina,80,28,87,59
2189,Pittsburg,35,Oklahoma,34,32,87,55
3027,Pleasants,65,West Virginia,56,49,87,38
756,Perry,55,Indiana,50,28,87,59
679,Shelby,55,Illinois,29,28,87,59
3084,Marquette,55,Wisconsin,33,28,87,59
2629,Hill,35,Texas,37,32,87,55
774,Tipton,55,Indiana,63,28,87,59
777,Vermillion,55,Indiana,64,28,87,59
795,Bremer,55,Iowa,54,28,87,59
699,Blackford,55,Indiana,84,28,87,59
881,Winnebago,55,Iowa,28,28,87,59
797,Buena Vista,55,Iowa,35,28,87,59
654,Marshall,55,Illinois,34,28,87,59
802,Cedar,55,Iowa,31,28,87,59
666,Piatt,55,Illinois,38,28,87,59
826,Hamilton,55,Iowa,28,28,87,59
816,Dickinson,55,Iowa,44,28,87,59
2432,Campbell,35,Tennessee,85,32,87,55
2818,Accomack,35,Virginia,87,32,87,55
2557,Cherokee,35,Texas,46,32,87,55
865,Poweshiek,55,Iowa,32,28,87,59
3000,Fayette,35,West Virginia,71,32,87,55
839,Jones,55,Iowa,36,28,87,59
830,Henry,55,Iowa,47,28,87,59
828,Hardin,55,Iowa,32,28,87,59
122,Columbia,35,Arkansas,32,32,87,55
1158,St. John the Baptist,33,Louisiana,212,20,98,78
2080,Jackson,33,Ohio,80,20,98,78
2170,Logan,33,Oklahoma,50,20,98,78
2172,McClain,33,Oklahoma,53,20,98,78
2154,Grady,33,Oklahoma,45,20,98,78
194,Glenn,33,California,21,20,98,78
1116,Beauregard,33,Louisiana,30,20,98,78
2185,Osage,33,Oklahoma,20,20,98,78
1446,Monroe,33,Mississippi,49,20,98,78
557,Bonner,33,Idaho,24,20,98,78
554,Bingham,33,Idaho,21,20,98,78
2148,Custer,33,Oklahoma,26,20,98,78
916,Geary,33,Kansas,64,20,98,78
1964,Richmond,33,North Carolina,99,20,98,78
2104,Perry,33,Ohio,86,20,98,78
125,Crawford,33,Arkansas,97,20,98,78
2509,Tipton,33,Tennessee,122,20,98,78
1473,Warren,33,Mississippi,84,20,98,78
2161,Jackson,33,Oklahoma,33,20,98,78
2531,Bastrop,33,Texas,79,20,98,78
2785,Iron,33,Utah,12,20,98,78
1311,Wexford,33,Michigan,56,20,98,78
1148,Plaquemines,33,Louisiana,34,20,98,78
2325,Chester,33,South Carolina,57,20,98,78
2236,Union,33,Oregon,12,20,98,78
1435,Lamar,33,Mississippi,90,20,98,78
2326,Chesterfield,33,South Carolina,54,20,98,78
2984,Stevens,33,Washington,17,20,98,78
2761,Wharton,33,Texas,38,20,98,78
2767,Wilson,33,Texas,47,20,98,78
2962,Franklin,33,Washington,51,20,98,78
2449,Fayette,33,Tennessee,49,20,98,78
1565,Pulaski,33,Missouri,81,20,98,78
22,Dale,33,Alabama,87,20,98,78
1315,Beltrami,33,Minnesota,17,20,98,78
2806,Caledonia,33,Vermont,47,20,98,78
1580,Scott,33,Missouri,98,20,98,78
2813,Orleans,33,Vermont,40,20,98,78
1592,Webster,33,Missouri,59,20,98,78
1421,Hancock,33,Mississippi,98,20,98,78
1934,Hoke,33,North Carolina,105,20,98,78
3005,Hancock,30,West Virginia,379,34,112,78
1182,Lincoln,30,Maine,77,34,112,78
1495,Camden,30,Missouri,60,34,112,78
3061,Douglas,30,Wisconsin,34,34,112,78
1232,Alpena,30,Michigan,53,34,112,78
1765,Coos,30,New Hampshire,19,34,112,78
1841,Essex,30,New York,22,34,112,78
2202,Washington,30,Oklahoma,118,34,112,78
2209,Clatsop,30,Oregon,44,34,112,78
2064,Fayette,30,Ohio,69,34,112,78
1181,Knox,30,Maine,113,34,112,78
188,Calaveras,30,California,46,34,112,78
1179,Hancock,30,Maine,34,34,112,78
2283,McKean,30,Pennsylvania,45,34,112,78
583,Nez Perce,30,Idaho,45,34,112,78
2967,Jefferson,30,Washington,16,34,112,78
1586,Taney,30,Missouri,68,34,112,78
2899,Shenandoah,30,Virginia,77,34,112,78
1584,Stone,30,Missouri,67,34,112,78
621,Fulton,30,Illinois,44,34,112,78
1873,Schoharie,30,New York,52,34,112,78
2891,Pulaski,30,Virginia,109,34,112,78
2285,Mifflin,30,Pennsylvania,112,34,112,78
2300,Tioga,30,Pennsylvania,37,34,112,78
2274,Jefferson,30,Pennsylvania,70,34,112,78
1845,Greene,30,New York,77,34,112,78
3134,Sheridan,30,Wyoming,11,34,112,78
2246,Bedford,30,Pennsylvania,49,34,112,78
1975,Transylvania,30,North Carolina,78,34,112,78
1249,Delta,30,Michigan,33,34,112,78
2995,Brooke,30,West Virginia,276,34,112,78
2805,Bennington,30,Vermont,55,34,112,78
1260,Huron,30,Michigan,41,34,112,78
880,Webster,30,Iowa,55,34,112,78
876,Wapello,30,Iowa,83,34,112,78
842,Lee,30,Iowa,71,34,112,78
2835,Carroll,30,Virginia,62,34,112,78
660,Montgomery,30,Illinois,43,34,112,78
661,Morgan,30,Illinois,63,34,112,78
2491,Obion,30,Tennessee,59,34,112,78
671,Randolph,30,Illinois,57,34,112,78
2517,Weakley,30,Tennessee,58,34,112,78
2427,Bedford,30,Tennessee,89,34,112,78
762,Randolph,30,Indiana,59,34,112,78
2453,Giles,30,Tennessee,48,34,112,78
2974,Mason,30,Washington,57,34,112,78
2434,Carroll,30,Tennessee,49,34,112,78
2305,Wayne,30,Pennsylvania,69,34,112,78
815,Des Moines,30,Iowa,98,34,112,78
1069,Marshall,30,Kentucky,102,34,112,78
1213,Worcester,30,Maryland,103,34,112,78
1943,McDowell,30,North Carolina,98,34,112,78
2477,Lincoln,30,Tennessee,57,34,112,78
2631,Hood,30,Texas,114,34,112,78
2475,Lawrence,30,Tennessee,67,34,112,78
736,Knox,30,Indiana,74,34,112,78
2484,Marshall,30,Tennessee,76,34,112,78
2452,Gibson,50,Tennessee,80,56,140,84
1008,Calloway,50,Kentucky,91,56,140,84
2900,Smyth,50,Virginia,72,56,140,84
2906,Tazewell,50,Virginia,86,56,140,84
2448,Dyer,50,Tennessee,74,56,140,84
136,Greene,50,Arkansas,68,56,140,84
948,Montgomery,50,Kansas,54,56,140,84
995,Barren,50,Kentucky,82,56,140,84
1400,Alcorn,50,Mississippi,88,56,140,84
1032,Graves,50,Kentucky,68,56,140,84
675,Saline,50,Illinois,68,56,140,84
2271,Greene,50,Pennsylvania,69,56,140,84
2443,Cumberland,50,Tennessee,75,56,140,84
904,Crawford,50,Kansas,64,56,140,84
2498,Roane,50,Tennessee,147,56,140,84
529,Upson,50,Georgia,85,56,140,84
3016,Marshall,50,West Virginia,112,56,140,84
2070,Guernsey,50,Ohio,79,56,140,84
2357,Union,50,South Carolina,56,56,140,84
3019,Mineral,50,West Virginia,82,56,140,84
647,McDonough,50,Illinois,54,56,140,84
3025,Ohio,50,West Virginia,425,56,140,84
111,Baxter,50,Arkansas,73,56,140,84
511,Stephens,50,Georgia,140,56,140,84
620,Franklin,50,Illinois,96,56,140,84
8,Chambers,50,Alabama,59,56,140,84
1044,Hopkins,50,Kentucky,85,56,140,84
1940,Lee,29,North Carolina,217,40,141,101
1886,Wyoming,29,New York,72,40,141,101
1240,Branch,29,Michigan,92,40,141,101
1537,Lincoln,29,Missouri,76,40,141,101
3087,Monroe,29,Wisconsin,47,40,141,101
391,Barrow,29,Georgia,370,40,141,101
746,Miami,29,Indiana,95,40,141,101
489,Murray,29,Georgia,118,40,141,101
1837,Cortland,29,New York,97,40,141,101
435,Effingham,29,Georgia,98,40,141,101
1850,Lewis,29,New York,21,40,141,101
2809,Franklin,29,Vermont,75,40,141,101
1553,Newton,29,Missouri,89,40,141,101
